,s_p_count,people,park,m_count,km$cluster,score
강북구,355,306625,84,19468.34722,3,25
광진구,463,355662,63,23538.24421,3,24
금천구,393,244535,55,18836.52083,3,23
도봉구,372,322745,80,19826.32986,3,22
동대문구,338,352498,96,24239.41551,3,21
동작구,385,397960,86,25606.68634,3,20
서대문구,382,318094,123,20823.80324,3,19
성동구,324,296306,87,21423.82755,3,18
용산구,208,241840,108,17760.22917,3,17
종로구,241,155584,105,18205.46181,3,16
중구,407,132399,75,18491.47222,3,15
강동구,536,469356,125,27327.69444,2,14
관악구,538,503171,113,32421.76042,2,13
구로구,641,425573,108,29573.02778,2,12
마포구,515,380015,143,28367.81481,2,11
성북구,511,443585,135,28011.07755,2,10
양천구,602,454849,123,27052.23727,2,9
영등포구,777,402863,109,32750.80787,2,8
은평구,515,479217,139,27568.5,2,7
중랑구,469,395241,102,24327.74421,2,6
강남구,1041,537024,162,49755.42593,1,5
강서구,747,582950,175,36675.50926,1,4
노원구,615,520615,188,32596.3669,1,3
서초구,953,422887,181,34519.21181,1,2
송파구,854,665134,173,42892.30093,1,1
