gu,FA_A_KMEANS,new_df_MR1,new_df_MR2,new_df_MR3,infra,score,rank
강남구,1,1.070525843,0.001746295,1.438572693,2.872966831,-2.344191024,2
강동구,3,0.506190681,1.409383919,0.698856232,0.994392181,-1.083493334,8
강북구,2,-0.512164173,-0.398531909,-0.91033691,-0.758944158,0.995419451,21
강서구,1,1.617227699,0.416199612,1.584023253,0.806534716,-1.792636511,3
관악구,3,0.907091948,2.577895155,-0.141017465,-0.383229229,-0.374954901,10
광진구,2,-0.310579129,-0.3039471,-0.582497702,-0.070133454,0.456219506,16
구로구,2,0.286687374,-0.80151254,0.138872781,-0.508467539,0.102569043,12
금천구,4,-1.179059071,-1.125173669,-1.00503861,-1.259897398,1.59638916,23
노원구,1,1.023651058,0.050475295,1.673390618,0.430819786,-1.392501688,4
도봉구,2,-0.417335398,-0.481937698,-0.202459809,-0.696325003,0.608508694,17
동대문구,2,-0.364984423,-0.385229176,-0.463860567,-0.571086694,0.645536328,18
동작구,2,0.03797988,0.144167358,-0.195259017,-0.758944158,0.386644616,15
마포구,3,-0.068847028,2.606886834,0.018771787,0.618677251,-0.470695097,9
서대문구,2,-0.550063852,-0.796032461,-0.591793692,-0.696325003,0.871605493,20
서초구,1,0.161469898,-0.634903755,0.638758572,0.994392181,-0.733708605,6
성동구,2,-0.851535717,-0.715757332,-0.431121843,-0.320610074,0.755998674,19
성북구,2,0.438987272,-0.201379285,-0.172658506,-0.132752609,-0.029982069,11
송파구,1,2.094186762,0.391283799,2.234143284,1.996298661,-2.800465832,1
양천구,1,0.473293256,0.75795978,0.65694513,0.618677251,-0.833023513,5
영등포구,2,-0.181311774,-0.392938444,0.053389101,-0.132752609,0.142245912,13
용산구,2,-1.194527734,0.277651432,-1.204104184,-0.383229229,1.198187553,22
은평구,1,0.871497418,-0.006597222,0.409702631,0.180343166,-0.631772439,7
종로구,4,-1.84269577,-1.038532901,-1.826483299,-1.385135708,2.300978577,25
중구,4,-2.117920667,-1.480324071,-1.463162887,-1.197278243,2.2062579,24
중랑구,2,0.102235645,0.129148086,-0.355631589,-0.257990919,0.220864116,14
