gu,FA_A_KMEANS,new_df_MR1,new_df_MR2,new_df_MR3,infra,score,rank
강남구,1,1.070525843,-0.001746295,1.438572693,2.872966831,5.380319072,24
강동구,3,0.506190681,-1.409383919,0.698856232,0.994392181,0.790055175,18
강북구,2,-0.512164173,0.398531909,-0.91033691,-0.758944158,-1.782913332,7
강서구,1,1.617227699,-0.416199612,1.584023253,0.806534716,3.591586056,23
관악구,3,0.907091948,-2.577895155,-0.141017465,-0.383229229,-2.195049901,5
광진구,2,-0.310579129,0.3039471,-0.582497702,-0.070133454,-0.659263185,13
구로구,2,0.286687374,0.80151254,0.138872781,-0.508467539,0.718605156,17
금천구,4,-1.179059071,1.125173669,-1.00503861,-1.259897398,-2.31882141,4
노원구,1,1.023651058,-0.050475295,1.673390618,0.430819786,3.077386167,22
도봉구,2,-0.417335398,0.481937698,-0.202459809,-0.696325003,-0.834182512,12
동대문구,2,-0.364984423,0.385229176,-0.463860567,-0.571086694,-1.014702508,10
동작구,2,0.03797988,-0.144167358,-0.195259017,-0.758944158,-1.060390653,8
마포구,3,-0.068847028,-2.606886834,0.018771787,0.618677251,-2.038284824,6
서대문구,2,-0.550063852,0.796032461,-0.591793692,-0.696325003,-1.042150086,9
서초구,1,0.161469898,0.634903755,0.638758572,0.994392181,2.429524406,21
성동구,2,-0.851535717,0.715757332,-0.431121843,-0.320610074,-0.887510302,11
성북구,2,0.438987272,0.201379285,-0.172658506,-0.132752609,0.334955442,16
송파구,1,2.094186762,-0.391283799,2.234143284,1.996298661,5.933344908,25
양천구,1,0.473293256,-0.75795978,0.65694513,0.618677251,0.990955857,19
영등포구,2,-0.181311774,0.392938444,0.053389101,-0.132752609,0.132263162,15
용산구,2,-1.194527734,-0.277651432,-1.204104184,-0.383229229,-3.059512579,3
은평구,1,0.871497418,0.006597222,0.409702631,0.180343166,1.468140437,20
종로구,4,-1.84269577,1.038532901,-1.826483299,-1.385135708,-4.015781876,1
중구,4,-2.117920667,1.480324071,-1.463162887,-1.197278243,-3.298037726,2
중랑구,2,0.102235645,-0.129148086,-0.355631589,-0.257990919,-0.640534949,14
