gu,FA_B_MEANSHIFT,new_df_human_MR1,new_df_anim_MR1,new_df_anim_MR2,new_df_anim_MR3,infra.1,score,rank,,,,,,,,
강남구,1,1.039336676,-0.298148134,1.041039718,1.613011235,2.872966831,-3.037540391,2,,,,,,,,
강동구,1,0.538841468,1.447077264,0.155845218,0.746439994,0.994392181,-0.21075663,8,,,,,,,,
강북구,0,-0.54934058,-0.280252324,-0.102764625,-1.079333202,-0.758944158,1.055275908,20,,,,,,,,
강서구,1,1.604944266,-0.045401273,1.526938503,1.418063576,0.806534716,-2.106322263,4,,,,,,,,
관악구,2,0.843146958,2.511982994,1.519139152,-0.94679104,-0.383229229,1.826349049,25,,,,,,,,
광진구,0,-0.311314707,-0.276527446,-0.173567394,-0.744243163,-0.070133454,0.461555508,15,,,,,,,,
구로구,0,0.2864756,-0.99778109,0.334457621,-0.003769729,-0.508467539,-0.564368179,9,,,,,,,,
금천구,0,-1.164938918,-0.910975815,-1.222707152,-0.678621477,-1.259897398,1.026999772,19,,,,,,,,
노원구,1,1.071142984,-0.265293619,0.352190792,2.118856565,0.430819786,-2.137306974,3,,,,,,,,
도봉구,0,-0.435373664,-0.389184753,-0.387682997,0.148507064,-0.696325003,0.191730966,12,,,,,,,,
동대문구,0,-0.287436948,-0.363852782,-0.715902802,-0.681330588,-0.571086694,0.667828816,17,,,,,,,,
동작구,0,0.037501795,0.134186668,0.157935921,-0.467113115,-0.758944158,0.681577934,18,,,,,,,,
마포구,2,-0.13354773,3.009277465,0.197437162,0.250901502,0.618677251,1.508213097,24,,,,,,,,
서대문구,0,-0.57350815,-0.702463748,-0.321024114,-0.534189789,-0.696325003,0.458688711,14,,,,,,,,
서초구,1,0.158006407,-0.708744658,0.044984235,0.913957869,0.994392181,-1.538252158,5,,,,,,,,
성동구,0,-0.778600025,-0.566381709,-1.342882608,-0.109308833,-0.320610074,0.345378628,13,,,,,,,,
성북구,0,0.460169279,-0.386422702,0.559138589,-0.863665338,-0.132752609,0.096994614,11,,,,,,,,
송파구,1,2.103954462,-0.195164242,1.826345218,1.978448066,1.996298661,-3.318315513,1,,,,,,,,
양천구,1,0.453306324,0.720653482,0.451564457,0.791213556,0.618677251,-0.549231621,7,,,,,,,,
영등포구,0,-0.062564399,-0.445290062,-0.898187253,-0.017428609,-0.132752609,-0.051115625,10,,,,,,,,
용산구,0,-1.264260803,0.725313167,-0.688945165,-0.931597102,-0.383229229,1.79066722,22,,,,,,,,
은평구,1,0.830139823,-0.256651925,1.216844855,-0.02718704,0.180343166,-0.722691754,6,,,,,,,,
종로구,0,-1.898274654,-0.547099447,-1.333116939,-1.491626949,-1.385135708,2.111047849,23,,,,,,,,
중구,0,-2.086432653,-0.988871427,-2.331607132,-0.711018025,-1.197278243,1.480102275,21,,,,,,,,
중랑구,0,0.118627189,0.076016116,0.13452674,-0.692175429,-0.257990919,0.533490772,16,,,,,,,,
