gu,FA_A_KMEANS,Kmeans_rank,FA_B_MEANSHIFT,Meanshift_rank,B_SCORE,D_SCORE,final_rank,
강남구,1,24,1,25,22,22,24,
강동구,3,18,1,23,19,21,21,
강북구,2,7,0,4,4,7,4,
강서구,1,23,1,20,24,24,23,
관악구,3,5,2,17,17,18,15,
광진구,2,13,0,8,9,8,9,
구로구,2,17,0,6,11,10,11,
금천구,4,4,0,2,3,2,3,
노원구,1,22,1,21,21,20,22,
도봉구,2,12,0,12,12,11,12,
동대문구,2,10,0,10,7,9,7,
동작구,2,8,0,9,10,13,10,
마포구,3,6,2,22,23,23,19,
서대문구,2,9,0,5,5,4,5,
서초구,1,21,1,18,16,14,17,
성동구,2,11,0,15,6,5,8,
성북구,2,16,0,7,14,16,13,
송파구,1,25,1,24,25,25,25,
양천구,1,19,1,19,20,17,20,
영등포구,2,15,0,16,13,12,14,
용산구,2,3,0,11,8,6,6,
은평구,1,20,1,14,18,19,18,
종로구,4,1,0,1,1,3,1,
중구,4,2,0,3,2,1,2,
중랑구,2,14,0,13,15,15,16,
