,gu,MS_I_CL,MS_a_CL,GMM_l_CL,GMM_a_CL,HIER_l_CL,HIER_a_CL,km_l_CL,km_a_CL,db_l_CL,db_a_CL,df_PC1,df_PC2,df_PC3,df_PC4,infra,df_avg_PC1,df_avg_PC2,infra.2
0,강남구,1,1,3,3,0,1,2,4,1,0,-3.657291441,1.068482664,0.899100551,-0.721042823,82,-3.084843762,-1.827488576,82
1,강동구,1,0,0,0,1,2,4,3,2,1,-1.809121727,-1.664866474,1.347273739,0.226069593,52,-1.513683829,1.199472338,52
2,강북구,0,0,2,1,2,3,1,3,3,1,1.81166268,-0.048784013,-1.282026601,-0.137331336,24,1.326310659,0.949003176,24
3,강서구,1,1,3,2,0,0,2,2,1,0,-5.441931245,0.646650724,-0.035307037,-0.076125125,49,-5.146401163,-0.379719445,49
4,관악구,3,2,2,0,2,2,4,3,0,0,-2.974846357,-3.532850598,-1.554478663,0.45614187,30,-4.528597053,3.415673369,30
5,광진구,0,0,2,1,2,3,1,2,3,2,1.109629189,0.06032402,-0.857969161,0.257820362,35,0.89207473,0.079370256,35
6,구로구,0,0,2,1,2,3,1,2,3,3,-0.894869591,1.294254023,-0.910218842,-0.171206077,28,-0.646550556,-1.161722189,28
7,금천구,0,0,1,1,3,3,3,1,3,2,3.977286972,0.820924757,-0.089330061,0.211219614,16,4.11647119,-0.48285051,16
8,노원구,1,0,1,2,1,0,3,2,0,2,-3.559106794,1.112462556,1.713194975,0.903396318,43,-3.016271938,-0.440986295,43
9,도봉구,0,0,1,1,3,3,3,1,3,2,1.381645263,0.502739469,0.309337555,0.100647397,25,1.678378576,-0.230407896,25
10,동대문구,0,0,1,1,2,3,3,3,3,1,1.26545019,0.224425146,-0.375002978,0.707880337,27,0.773237472,0.824619006,27
11,동작구,0,0,2,1,2,3,1,2,3,2,-0.089098585,-0.287075151,-0.567136231,-0.193671703,24,-0.317088244,-0.027064183,24
12,마포구,2,2,0,0,3,2,4,3,0,0,0.076859772,-3.941589149,1.74036701,-0.598775815,46,-0.074581248,2.11818137,46
13,서대문구,0,0,2,1,2,3,1,1,3,2,1.893790703,0.706479589,-0.533387112,-0.456068347,25,1.847019166,-0.399128368,25
14,서초구,1,1,3,2,0,1,2,4,0,0,-0.596249458,1.330177125,0.923423611,-0.837996775,52,0.164007956,-2.234938636,52
15,성동구,0,0,1,1,1,3,3,1,3,2,2.815235651,0.627051992,0.86462472,0.677019339,31,2.887667532,-0.319667177,31
16,성북구,0,0,2,1,2,0,1,2,3,2,-1.34449771,0.290663233,-1.767233502,0.025238991,34,-1.946069741,0.286133305,34
17,송파구,1,1,3,3,0,1,2,4,1,0,-7.069706476,1.158110599,0.41431901,-0.45552253,68,-6.29834894,-1.820094881,68
18,양천구,1,0,1,2,1,0,4,2,2,3,-1.662335219,-0.57440717,0.798450926,0.035809919,46,-1.098595944,-0.774275511,46
19,영등포구,0,0,1,1,1,3,3,2,3,2,0.589868026,0.581141375,0.562463776,1.06776198,34,0.515703826,-0.339270767,34
20,용산구,0,0,2,1,3,3,1,1,0,0,3.9946511,-1.339528932,0.205044325,-0.487184665,30,3.710868278,0.705330379,30
21,은평구,0,0,2,2,2,0,1,2,3,2,-2.83803253,0.418720302,-1.370854504,-0.527098627,39,-2.848953327,0.085271698,39
22,종로구,0,0,2,1,3,3,1,1,0,0,6.229447607,0.050507036,-0.412425525,-0.80603884,14,5.918891026,0.352533014,14
23,중구,0,0,1,1,3,3,3,1,3,0,7.055774325,0.874879786,1.122098986,0.037845918,17,7.33628793,-0.698475683,17
24,중랑구,0,0,1,1,2,3,3,3,3,1,-0.264214345,-0.37889291,-1.144328966,0.761211025,32,-0.646932597,1.120502206,32
